host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,Year
Laetitia,Brooklyn,Bedford-Stuyvesant,40.69121,-73.95121,Entire home/apt,90,3,5,2/19/2019,2019
Lanie,Manhattan,Upper West Side,40.77978,-73.97598,Entire home/apt,2900,1,0,,
Abel,Manhattan,West Village,40.73369,-74.00534,Entire home/apt,199,4,24,6/28/2019,2019
Lauren,Manhattan,East Harlem,40.78886,-73.94324,Private room,70,1,11,7/15/2017,2017
Louiza,Brooklyn,Williamsburg,40.71591,-73.96039,Entire home/apt,169,5,1,6/7/2017,2017
Michelle,Brooklyn,Bushwick,40.69055,-73.91599,Private room,30,1,0,,
Daphnee,Brooklyn,Williamsburg,40.70844,-73.96693,Entire home/apt,140,3,19,6/21/2019,2019
Larry,Manhattan,Lower East Side,40.72037,-73.98701,Entire home/apt,110,3,19,6/29/2019,2019
Debra,Queens,Jamaica,40.68555,-73.79416,Private room,30,1,15,6/28/2019,2019
Adam,Brooklyn,Fort Greene,40.68647,-73.97531,Entire home/apt,130,5,1,10/16/2017,2017
Tony,Brooklyn,East New York,40.66547,-73.88944,Entire home/apt,99,2,145,6/21/2019,2019
Mark,Manhattan,Upper West Side,40.77229,-73.97944,Entire home/apt,200,4,10,5/14/2018,2018
Tim And Allison,Manhattan,Upper East Side,40.77568,-73.95405,Entire home/apt,170,1,20,1/1/2019,2019
John,Brooklyn,Kensington,40.64354,-73.97967,Private room,110,1,0,,
Alex,Brooklyn,Bushwick,40.70382,-73.91746,Entire home/apt,100,1,0,,
Chelsea,Manhattan,East Village,40.73159,-73.98447,Entire home/apt,133,3,5,8/23/2017,2017
Caitlin,Manhattan,Washington Heights,40.85865,-73.93559,Private room,75,2,13,9/16/2018,2018
Triada,Brooklyn,Carroll Gardens,40.68057,-73.99395,Entire home/apt,125,2,69,7/1/2019,2019
Sabrina,Brooklyn,Brooklyn Heights,40.69284,-73.99633,Entire home/apt,325,2,12,10/7/2018,2018
Max Prana,Brooklyn,Bedford-Stuyvesant,40.69418,-73.94447,Private room,50,2,19,6/5/2019,2019
Vicdania,Bronx,North Riverdale,40.91169,-73.90564,Private room,50,365,0,,
Maria,Manhattan,Upper East Side,40.7672,-73.95495,Entire home/apt,120,1,89,6/22/2019,2019
Mahnoor,Manhattan,Morningside Heights,40.81368,-73.95919,Private room,50,1,0,,
Jeff,Queens,Sunnyside,40.74789,-73.91428,Entire home/apt,100,30,3,12/2/2017,2017
Megan E,Brooklyn,Crown Heights,40.66954,-73.93975,Private room,45,3,8,3/30/2019,2019
Jody,Brooklyn,East Flatbush,40.65064,-73.95045,Entire home/apt,94,2,73,6/29/2019,2019
Caitlin,Brooklyn,Williamsburg,40.71227,-73.96233,Private room,60,5,2,6/11/2018,2018
Anushua,Queens,Astoria,40.76682,-73.90807,Private room,63,2,27,6/15/2019,2019
Bethany,Brooklyn,Williamsburg,40.71353,-73.9578,Entire home/apt,175,3,9,5/12/2019,2019
Michèle,Brooklyn,Crown Heights,40.67541,-73.93253,Private room,26,7,0,,
Devon,Manhattan,Harlem,40.82336,-73.94512,Private room,45,30,4,9/10/2018,2018
Sean,Manhattan,Upper East Side,40.77481,-73.95641,Entire home/apt,123,3,32,5/27/2019,2019
Dee,Brooklyn,Bedford-Stuyvesant,40.69205,-73.95803,Entire home/apt,185,3,1,5/22/2017,2017
Shia,Manhattan,Morningside Heights,40.80387,-73.95853,Private room,55,3,103,6/17/2019,2019
Patrick,Manhattan,East Village,40.7241,-73.98959,Entire home/apt,133,7,9,11/5/2018,2018
Shia,Manhattan,Harlem,40.8042,-73.95669,Private room,75,2,41,4/1/2019,2019
Margot,Brooklyn,Prospect Heights,40.67787,-73.97225,Entire home/apt,450,3,3,7/16/2017,2017
Noah,Brooklyn,Crown Heights,40.67571,-73.94916,Private room,40,1,0,,
Andrea,Queens,Astoria,40.76843,-73.93257,Private room,90,3,17,4/23/2019,2019
Ana Y Victor,Brooklyn,Williamsburg,40.71039,-73.96139,Private room,400,1,44,5/8/2019,2019
Andrea,Queens,Astoria,40.76848,-73.93213,Private room,62,3,27,7/2/2019,2019
Kseniya,Manhattan,Gramercy,40.7358,-73.9889,Entire home/apt,287,1,68,7/2/2019,2019
Paul,Manhattan,Harlem,40.8225,-73.94493,Entire home/apt,200,1,78,7/7/2019,2019
John,Brooklyn,Williamsburg,40.70545,-73.94714,Private room,58,1,96,6/15/2019,2019
Tiffany,Brooklyn,Williamsburg,40.7137,-73.95711,Entire home/apt,325,3,32,6/23/2019,2019
Stanley,Manhattan,Murray Hill,40.75017,-73.97687,Entire home/apt,222,30,0,,
Zexi,Brooklyn,Downtown Brooklyn,40.69459,-73.98261,Entire home/apt,130,5,2,8/29/2017,2017
Ben,Manhattan,Upper West Side,40.79939,-73.96752,Private room,70,7,1,8/24/2017,2017
Charlotte,Brooklyn,Bushwick,40.69804,-73.9182,Private room,44,2,0,,
Laura,Brooklyn,Gowanus,40.68432,-73.98867,Private room,85,1,0,,
Allie,Manhattan,Financial District,40.70586,-74.00875,Private room,85,1,3,6/4/2017,2017
Tami,Brooklyn,Midwood,40.61143,-73.9543,Private room,52,2,12,7/30/2017,2017
Lauren,Manhattan,East Village,40.72288,-73.98342,Private room,60,1,3,8/27/2017,2017
Richard,Brooklyn,Windsor Terrace,40.65766,-73.97614,Entire home/apt,275,3,8,11/30/2018,2018
Trisha,Manhattan,Harlem,40.81271,-73.94055,Private room,75,2,21,3/18/2018,2018
Adriana,Brooklyn,Bedford-Stuyvesant,40.68626,-73.95918,Entire home/apt,125,1,0,,
Caroline,Brooklyn,Gowanus,40.68112,-73.98921,Entire home/apt,475,7,4,4/26/2019,2019
Ashkon,Brooklyn,Crown Heights,40.67404,-73.95616,Private room,50,7,0,,
Ada,Queens,Jamaica,40.6705,-73.77787,Entire home/apt,80,1,22,6/2/2019,2019
Mo,Brooklyn,Bedford-Stuyvesant,40.68391,-73.95783,Entire home/apt,200,3,4,5/6/2018,2018
Heejun,Brooklyn,Bushwick,40.69445,-73.91161,Private room,70,1,22,7/1/2019,2019
Roberto,Manhattan,Harlem,40.83168,-73.94743,Private room,52,7,0,,
Bam,Brooklyn,Bushwick,40.69517,-73.92541,Entire home/apt,150,2,15,6/23/2019,2019
Kelley,Brooklyn,Bedford-Stuyvesant,40.69087,-73.946,Private room,63,3,0,,
Dan,Brooklyn,Bushwick,40.69694,-73.91269,Entire home/apt,100,7,0,,
Reuben,Staten Island,Stapleton,40.62981,-74.07998,Private room,50,1,25,7/6/2019,2019
Meja Hilde,Queens,Long Island City,40.75172,-73.9379,Private room,69,1,3,5/30/2017,2017
Alexandra,Brooklyn,Bedford-Stuyvesant,40.68988,-73.94137,Entire home/apt,116,2,0,,
Win,Queens,East Elmhurst,40.75885,-73.86959,Private room,44,1,141,7/5/2019,2019
Lexi,Manhattan,Washington Heights,40.84773,-73.93251,Private room,60,3,2,6/12/2017,2017
Robert,Manhattan,Hell's Kitchen,40.75405,-73.99377,Private room,180,1,7,3/11/2018,2018
Yinhang,Manhattan,East Village,40.72349,-73.9841,Entire home/apt,95,3,2,6/21/2017,2017
Shirley,Manhattan,Upper West Side,40.79978,-73.96797,Private room,70,7,5,7/4/2017,2017
Michele,Manhattan,Kips Bay,40.74518,-73.97929,Entire home/apt,275,3,0,,
Leah,Manhattan,Midtown,40.74452,-73.98163,Entire home/apt,195,3,14,9/22/2018,2018
Roodmy,Brooklyn,Bushwick,40.69416,-73.90816,Private room,45,7,11,9/20/2017,2017
David,Manhattan,Hell's Kitchen,40.76,-73.98915,Private room,135,3,65,6/30/2019,2019
Mili,Manhattan,Morningside Heights,40.80546,-73.96547,Entire home/apt,145,7,2,1/21/2018,2018
Crystal,Manhattan,Financial District,40.70738,-74.01281,Entire home/apt,160,2,0,,
Jeffrey,Brooklyn,Bedford-Stuyvesant,40.69471,-73.94225,Entire home/apt,98,2,0,,
Lauren,Brooklyn,Prospect-Lefferts Gardens,40.65475,-73.96186,Private room,80,1,24,12/11/2017,2017
Stanley,Manhattan,Murray Hill,40.74954,-73.97687,Entire home/apt,150,30,3,2/2/2019,2019
Pauline,Bronx,Baychester,40.87192,-73.84676,Private room,60,1,0,,
Fabrice,Brooklyn,Williamsburg,40.71255,-73.95745,Private room,430,6,0,,
Adam,Manhattan,East Village,40.72415,-73.98411,Entire home/apt,128,1,13,1/1/2018,2018
John (Tianqi),Manhattan,Upper West Side,40.8012,-73.96693,Shared room,55,2,0,,
Hermann,Brooklyn,East Flatbush,40.6327,-73.93922,Private room,60,1,5,5/13/2018,2018
Avrora,Brooklyn,Bensonhurst,40.60795,-73.98955,Private room,89,1,5,9/29/2017,2017
Howard,Manhattan,Harlem,40.818,-73.94134,Private room,60,2,51,7/5/2019,2019
Marc,Brooklyn,Bushwick,40.69207,-73.92331,Entire home/apt,145,3,17,5/25/2019,2019
Cara,Brooklyn,Bedford-Stuyvesant,40.69171,-73.95374,Entire home/apt,97,4,6,8/18/2018,2018
Emma,Bronx,Tremont,40.84594,-73.89358,Private room,45,2,49,5/26/2019,2019
Aj,Manhattan,Harlem,40.8213,-73.95131,Private room,50,7,0,,
Andrea,Manhattan,Little Italy,40.71886,-73.99746,Private room,110,1,166,6/21/2019,2019
Cecilia,Brooklyn,Williamsburg,40.7107,-73.94295,Private room,65,7,1,12/24/2017,2017
Alex,Brooklyn,Williamsburg,40.70943,-73.95064,Entire home/apt,175,3,3,8/26/2018,2018
Marianel,Manhattan,Washington Heights,40.85115,-73.93703,Private room,80,4,4,4/22/2019,2019
Nazila,Brooklyn,Downtown Brooklyn,40.70001,-73.98969,Entire home/apt,325,2,94,6/23/2019,2019
John,Brooklyn,Bedford-Stuyvesant,40.69347,-73.955,Entire home/apt,126,20,0,,
Zhi And Gloria,Manhattan,Lower East Side,40.72008,-73.98268,Private room,104,3,28,11/11/2017,2017
Monica,Brooklyn,Williamsburg,40.71869,-73.95358,Entire home/apt,150,2,2,7/23/2017,2017
Adé,Brooklyn,Crown Heights,40.67371,-73.94537,Private room,85,5,0,,
Ā.,Brooklyn,Crown Heights,40.6746,-73.94549,Private room,45,2,19,7/6/2018,2018
Christoni,Bronx,Williamsbridge,40.87309,-73.86326,Private room,60,1,5,6/3/2017,2017
Kung,Brooklyn,Williamsburg,40.7097,-73.94001,Private room,120,2,3,10/15/2017,2017
Linda,Brooklyn,Brooklyn Heights,40.69364,-73.99467,Entire home/apt,200,2,80,6/28/2019,2019
Ken,Manhattan,East Village,40.73334,-73.9897,Entire home/apt,235,30,1,5/6/2018,2018
Azi,Manhattan,Hell's Kitchen,40.75725,-73.9959,Entire home/apt,180,2,36,6/20/2019,2019
Jacqueline,Brooklyn,Bedford-Stuyvesant,40.68416,-73.9551,Entire home/apt,160,3,59,7/6/2019,2019
Ude,Brooklyn,Canarsie,40.64005,-73.90916,Private room,42,1,29,2/2/2018,2018
Jeniffer,Manhattan,Hell's Kitchen,40.76515,-73.99423,Entire home/apt,135,30,0,,
Rachel,Brooklyn,Fort Greene,40.6862,-73.96973,Entire home/apt,175,3,3,8/11/2017,2017
John,Manhattan,SoHo,40.72667,-74.00179,Entire home/apt,164,2,2,6/4/2017,2017
Rachel,Brooklyn,Crown Heights,40.67324,-73.92502,Entire home/apt,147,20,49,5/29/2019,2019
New,Brooklyn,Fort Greene,40.69369,-73.98074,Entire home/apt,120,2,7,8/20/2018,2018
Daryen,Brooklyn,Williamsburg,40.71232,-73.96067,Entire home/apt,88,4,6,4/14/2018,2018
Kremer,Brooklyn,Gowanus,40.67862,-73.9923,Entire home/apt,120,30,2,11/1/2018,2018
George,Manhattan,Lower East Side,40.7218,-73.98723,Private room,63,30,8,8/1/2018,2018
Paul,Brooklyn,Bedford-Stuyvesant,40.69121,-73.95265,Entire home/apt,114,7,0,,
Mariama,Manhattan,Roosevelt Island,40.76364,-73.94881,Private room,110,1,48,6/20/2019,2019
Jiqiong,Queens,Rego Park,40.72446,-73.85636,Private room,60,3,46,6/10/2019,2019
Arthur,Manhattan,Harlem,40.80393,-73.95674,Private room,55,7,0,,
"Jeanne - Aka, 'Rindy'",Brooklyn,Park Slope,40.66634,-73.97806,Entire home/apt,165,4,41,1/2/2019,2019
Jenny,Manhattan,Midtown,40.7523,-73.97287,Private room,105,4,1,7/30/2017,2017
Ms. George,Queens,Glendale,40.69252,-73.89533,Entire home/apt,150,3,22,6/23/2019,2019
Claire,Brooklyn,Sunset Park,40.65003,-74.00657,Entire home/apt,75,3,2,7/5/2017,2017
Monica,Brooklyn,Bushwick,40.69453,-73.93053,Private room,150,3,0,,
Ms. H,Bronx,Wakefield,40.88702,-73.86575,Private room,60,1,39,7/1/2019,2019
Trilla,Brooklyn,Crown Heights,40.67574,-73.94722,Entire home/apt,90,31,70,6/22/2019,2019
Leah,Queens,Woodside,40.74204,-73.90639,Private room,55,2,3,5/28/2017,2017
Burcu,Queens,Astoria,40.75865,-73.91737,Private room,150,2,2,9/12/2017,2017
Nneka,Brooklyn,Crown Heights,40.67615,-73.94752,Private room,41,3,1,5/21/2017,2017
Anny,Manhattan,Financial District,40.70817,-74.00675,Private room,115,1,5,10/6/2017,2017
Noah,Brooklyn,Bushwick,40.70373,-73.92848,Entire home/apt,100,3,3,11/25/2018,2018
Danni,Brooklyn,Williamsburg,40.71432,-73.95629,Entire home/apt,155,2,2,6/12/2017,2017
Sam,Brooklyn,Williamsburg,40.71725,-73.9544,Private room,52,5,111,6/22/2019,2019
Jonathan,Brooklyn,Williamsburg,40.71365,-73.94822,Private room,80,4,9,12/21/2018,2018
Marlène,Manhattan,Upper East Side,40.77958,-73.95025,Entire home/apt,75,15,5,8/25/2018,2018
Suri,Brooklyn,Sunset Park,40.6589,-74.00018,Private room,150,2,6,3/23/2019,2019
Felipe,Manhattan,Upper West Side,40.78293,-73.97636,Private room,40,30,8,4/26/2019,2019
Desmond,Manhattan,Harlem,40.82425,-73.9552,Entire home/apt,95,2,49,7/2/2019,2019
Ben,Brooklyn,Williamsburg,40.71219,-73.96085,Private room,50,5,16,6/22/2019,2019
Javerick,Brooklyn,Williamsburg,40.70608,-73.9313,Entire home/apt,158,3,2,7/22/2017,2017
Daniël,Brooklyn,Williamsburg,40.70884,-73.95425,Private room,60,20,2,6/19/2017,2017
Kathleen,Manhattan,Washington Heights,40.83543,-73.94372,Private room,50,2,14,9/1/2018,2018
Cherly,Bronx,Norwood,40.87315,-73.87925,Private room,65,1,0,,
Mara,Manhattan,Washington Heights,40.85618,-73.93085,Private room,44,2,7,7/23/2017,2017
Anton,Brooklyn,Sheepshead Bay,40.60924,-73.95556,Private room,30,1,0,,
Carol,Brooklyn,Bushwick,40.70336,-73.92657,Entire home/apt,184,1,29,5/7/2019,2019
Ashley,Brooklyn,Red Hook,40.67785,-74.00735,Entire home/apt,175,30,14,12/17/2018,2018
Devan,Brooklyn,Boerum Hill,40.68602,-73.98311,Entire home/apt,300,2,4,11/12/2018,2018
Robert,Brooklyn,Bedford-Stuyvesant,40.68692,-73.94699,Entire home/apt,99,2,7,6/14/2019,2019
Ori & Juanjo,Brooklyn,Bedford-Stuyvesant,40.68924,-73.92818,Entire home/apt,137,5,86,7/7/2019,2019
Hannah,Queens,Rosedale,40.65219,-73.73729,Private room,49,2,61,3/25/2019,2019
Ben,Brooklyn,Prospect-Lefferts Gardens,40.66325,-73.94978,Entire home/apt,75,7,0,,
Jose,Queens,Ozone Park,40.67555,-73.85653,Private room,39,2,21,6/1/2019,2019
Irina,Brooklyn,Kensington,40.63491,-73.96796,Entire home/apt,59,5,7,6/14/2019,2019
Julio,Brooklyn,Clinton Hill,40.68307,-73.96595,Entire home/apt,229,5,11,5/28/2019,2019
Julio,Brooklyn,Clinton Hill,40.68499,-73.96524,Entire home/apt,825,3,2,9/28/2018,2018
Simon,Manhattan,East Harlem,40.79376,-73.94679,Private room,125,1,19,6/21/2019,2019
Shahana,Brooklyn,Crown Heights,40.67064,-73.9178,Private room,39,1,41,6/14/2019,2019
Kim,Manhattan,Harlem,40.80722,-73.95614,Entire home/apt,130,1,2,5/23/2017,2017
Leisa,Manhattan,Upper West Side,40.80066,-73.96813,Private room,500,1,0,,
Ruthie,Brooklyn,Bushwick,40.70249,-73.93025,Entire home/apt,80,2,5,7/16/2018,2018
Matt,Brooklyn,Greenpoint,40.72186,-73.94588,Entire home/apt,125,2,8,12/30/2017,2017
Halliday,Brooklyn,Williamsburg,40.70398,-73.93298,Entire home/apt,185,2,39,12/27/2018,2018
Ruchi,Manhattan,Midtown,40.75403,-73.96343,Entire home/apt,225,30,0,,
Jennifer,Brooklyn,Crown Heights,40.67305,-73.94788,Private room,90,1,3,11/11/2018,2018
Stanley,Manhattan,Murray Hill,40.74863,-73.9767,Entire home/apt,150,30,0,,
Ashley,Manhattan,East Harlem,40.80324,-73.9352,Entire home/apt,120,2,8,5/29/2019,2019
Kimberly,Brooklyn,Bedford-Stuyvesant,40.69023,-73.95428,Private room,0,4,1,1/6/2018,2018
Kaila,Brooklyn,Greenpoint,40.72463,-73.95227,Private room,65,5,3,6/12/2018,2018
Meredith,Brooklyn,Greenpoint,40.72357,-73.95057,Entire home/apt,225,2,2,8/22/2018,2018
Salah,Brooklyn,Williamsburg,40.71627,-73.93957,Private room,100,7,1,3/24/2019,2019
King,Manhattan,Harlem,40.81372,-73.95612,Entire home/apt,195,1,51,5/22/2019,2019
Rossana,Queens,Astoria,40.75777,-73.91577,Private room,69,5,17,6/3/2018,2018
Omer,Manhattan,Upper West Side,40.79948,-73.96314,Private room,75,1,5,6/23/2017,2017
Carla,Brooklyn,Prospect Heights,40.6806,-73.97164,Entire home/apt,150,2,140,6/27/2019,2019
Ely,Staten Island,Port Richmond,40.63748,-74.13496,Private room,40,1,63,5/27/2019,2019
Amy,Manhattan,East Village,40.73193,-73.98861,Entire home/apt,200,3,0,,
Lu,Manhattan,Upper West Side,40.7932,-73.96385,Entire home/apt,260,3,1,9/22/2017,2017
Shuting,Manhattan,Upper West Side,40.80225,-73.96633,Private room,60,3,4,9/4/2017,2017
Tracy,Brooklyn,South Slope,40.66615,-73.98554,Entire home/apt,150,2,88,2/23/2019,2019
Ava,Manhattan,Hell's Kitchen,40.75997,-73.99923,Entire home/apt,254,1,18,9/7/2018,2018
Maureen,Manhattan,East Village,40.72681,-73.98963,Shared room,58,1,0,,
Terry,Manhattan,Upper West Side,40.80005,-73.9701,Entire home/apt,295,3,3,6/22/2019,2019
Daniel,Manhattan,Inwood,40.86854,-73.9182,Private room,45,1,2,1/25/2018,2018
Allison,Manhattan,Washington Heights,40.85391,-73.93649,Private room,50,3,18,6/23/2019,2019
Cheryl,Brooklyn,Prospect-Lefferts Gardens,40.65704,-73.9603,Entire home/apt,80,4,2,6/21/2019,2019
Allie,Brooklyn,Vinegar Hill,40.70257,-73.98053,Private room,80,1,53,6/1/2019,2019
David,Queens,Forest Hills,40.73526,-73.85065,Entire home/apt,88,3,6,5/18/2018,2018
Stanley,Manhattan,Murray Hill,40.74819,-73.976,Entire home/apt,150,30,3,10/30/2018,2018
Sean,Manhattan,Morningside Heights,40.80371,-73.96324,Private room,70,3,16,11/27/2018,2018
Anada,Brooklyn,Greenpoint,40.72247,-73.95108,Private room,98,1,1,6/2/2017,2017
Rose & Brian,Brooklyn,Williamsburg,40.71813,-73.94502,Entire home/apt,250,2,9,5/20/2018,2018
David,Queens,Forest Hills,40.73437,-73.85227,Entire home/apt,238,3,2,3/31/2019,2019
John And Colleen,Queens,Springfield Gardens,40.66413,-73.76651,Private room,100,1,15,2/5/2019,2019
Ben,Manhattan,Gramercy,40.73742,-73.98219,Entire home/apt,265,2,58,6/9/2019,2019
Natie,Manhattan,Theater District,40.76044,-73.98321,Entire home/apt,399,10,0,,
Paul,Brooklyn,Williamsburg,40.70492,-73.93341,Private room,55,1,25,12/30/2018,2018
Margot,Manhattan,East Village,40.73334,-73.98904,Entire home/apt,160,7,35,6/23/2019,2019
John,Brooklyn,Williamsburg,40.71335,-73.94115,Entire home/apt,350,5,0,,
Lana,Queens,Long Island City,40.75607,-73.93022,Private room,100,2,91,6/23/2019,2019
Ruchi,Manhattan,Hell's Kitchen,40.76617,-73.98445,Entire home/apt,184,30,0,,
Ruchi,Manhattan,Midtown,40.75794,-73.96143,Entire home/apt,315,30,0,,
Marie-Astrid,Brooklyn,Williamsburg,40.71364,-73.96447,Entire home/apt,250,3,37,6/8/2019,2019
Elsa,Brooklyn,Carroll Gardens,40.6737,-73.99891,Private room,77,2,18,4/23/2019,2019
Jason & Mary,Brooklyn,Bushwick,40.70286,-73.91884,Entire home/apt,180,29,31,1/3/2019,2019
Stanley,Manhattan,Murray Hill,40.74814,-73.97693,Entire home/apt,150,30,1,5/16/2019,2019
Vanessa,Brooklyn,Crown Heights,40.67731,-73.94616,Entire home/apt,150,5,9,1/2/2019,2019
Fanny,Brooklyn,Williamsburg,40.70959,-73.95747,Entire home/apt,165,6,10,5/15/2019,2019
Edmund,Brooklyn,Bedford-Stuyvesant,40.68843,-73.92536,Entire home/apt,125,3,96,7/2/2019,2019
Vincent,Manhattan,East Village,40.72791,-73.98929,Entire home/apt,150,10,5,1/6/2019,2019
Justin,Brooklyn,Bushwick,40.70439,-73.92619,Private room,51,3,5,9/19/2017,2017
Zachary,Brooklyn,South Slope,40.66458,-73.98722,Private room,53,3,70,6/20/2019,2019
Kevin,Manhattan,Greenwich Village,40.73016,-74.00137,Private room,95,1,9,9/17/2018,2018
Dan,Manhattan,Morningside Heights,40.81233,-73.95717,Private room,69,3,0,,
Stanley,Manhattan,Murray Hill,40.75023,-73.97664,Entire home/apt,195,30,1,12/10/2017,2017
Vincent,Manhattan,Lower East Side,40.72146,-73.98838,Entire home/apt,125,1,2,1/1/2018,2018
Lauren,Manhattan,Greenwich Village,40.73193,-73.99931,Entire home/apt,299,2,28,7/7/2019,2019
Oday,Brooklyn,Williamsburg,40.71816,-73.95799,Private room,146,2,14,10/28/2018,2018
Malachi,Brooklyn,Bushwick,40.69319,-73.91642,Private room,55,3,49,4/20/2019,2019
Stephanie,Brooklyn,Williamsburg,40.71258,-73.96341,Private room,50,2,6,9/14/2017,2017
Diana,Brooklyn,Bushwick,40.69573,-73.91376,Private room,65,2,17,5/24/2019,2019
Cameron,Manhattan,West Village,40.73776,-73.99794,Entire home/apt,165,4,1,6/11/2017,2017
Franck And Joshua,Brooklyn,Bushwick,40.69079,-73.9163,Private room,41,30,56,12/17/2018,2018
Joe Berat,Queens,Rego Park,40.72661,-73.86046,Entire home/apt,70,1,89,6/23/2019,2019
Ikello,Bronx,Mount Eden,40.84473,-73.91175,Private room,55,2,112,6/30/2019,2019
Michelle,Brooklyn,Bedford-Stuyvesant,40.68415,-73.95641,Private room,55,2,0,,
Melissa,Manhattan,Chelsea,40.75229,-73.9955,Entire home/apt,250,2,1,8/6/2017,2017
Tykia,Manhattan,Harlem,40.82402,-73.94537,Private room,73,2,24,6/25/2018,2018
Steven,Brooklyn,Bushwick,40.69962,-73.91646,Private room,63,3,96,6/24/2019,2019
Ding,Manhattan,Upper West Side,40.80152,-73.96696,Private room,50,1,0,,
Alan,Queens,Flushing,40.75872,-73.82174,Entire home/apt,183,30,2,10/13/2018,2018
Sonya,Brooklyn,Williamsburg,40.71015,-73.94747,Entire home/apt,91,31,0,,
Robert,Queens,Arverne,40.58934,-73.80055,Entire home/apt,250,2,48,6/30/2019,2019
Ruben,Brooklyn,Crown Heights,40.66931,-73.95215,Private room,55,2,3,7/30/2017,2017
Karen,Brooklyn,Crown Heights,40.67537,-73.91822,Entire home/apt,85,2,42,6/21/2019,2019
Zach,Manhattan,East Harlem,40.79712,-73.94689,Private room,50,25,0,,
Karen,Brooklyn,Sunset Park,40.65379,-74.00272,Entire home/apt,150,7,6,8/16/2018,2018
Jean,Manhattan,Lower East Side,40.72007,-73.98385,Entire home/apt,305,2,6,12/31/2018,2018
Joseph,Queens,Cambria Heights,40.68722,-73.73254,Private room,80,5,23,11/25/2018,2018
Stanley,Manhattan,Murray Hill,40.75044,-73.9753,Entire home/apt,150,30,4,2/6/2019,2019
Dave,Brooklyn,Williamsburg,40.70798,-73.93652,Shared room,64,1,69,6/22/2019,2019
Chen,Manhattan,Chelsea,40.75378,-74.00274,Private room,68,14,0,,
Jean Paul,Brooklyn,Flatbush,40.65068,-73.96073,Private room,31,1,83,6/16/2019,2019
Leslie,Brooklyn,Greenpoint,40.72528,-73.94467,Private room,125,1,1,4/26/2018,2018
Andrew,Manhattan,Midtown,40.75754,-73.96177,Entire home/apt,275,3,0,,
Stanley,Manhattan,Murray Hill,40.74891,-73.97589,Entire home/apt,150,30,2,12/30/2017,2017
Raviv,Manhattan,Financial District,40.70833,-74.01068,Private room,70,3,18,12/16/2018,2018
James,Brooklyn,Flatbush,40.64561,-73.96962,Private room,90,1,46,7/2/2019,2019
Andrea,Manhattan,Chinatown,40.71682,-73.99843,Private room,130,1,141,6/24/2019,2019
Thomas,Brooklyn,South Slope,40.66412,-73.98162,Entire home/apt,390,10,4,9/3/2018,2018
Yaacov,Manhattan,Upper East Side,40.77896,-73.95146,Entire home/apt,160,31,6,1/1/2019,2019
Dan,Manhattan,Hell's Kitchen,40.76011,-73.98828,Entire home/apt,275,1,0,,
Gabriele,Brooklyn,Bushwick,40.70263,-73.91568,Private room,43,1,4,5/28/2017,2017
AFI Apartments,Manhattan,Upper East Side,40.77299,-73.95745,Entire home/apt,119,30,3,11/19/2018,2018
Oksana,Brooklyn,Sheepshead Bay,40.59841,-73.96122,Private room,50,5,40,6/19/2019,2019
Marlene,Brooklyn,Bergen Beach,40.62929,-73.90821,Entire home/apt,115,4,9,3/7/2018,2018
Max,Brooklyn,Bushwick,40.70819,-73.92005,Private room,73,1,63,1/3/2019,2019
Harmony,Brooklyn,Greenpoint,40.72284,-73.93671,Private room,85,5,45,5/28/2019,2019
Candace,Brooklyn,East Flatbush,40.66314,-73.93299,Private room,89,1,8,6/30/2019,2019
Xinchen,Manhattan,East Village,40.72772,-73.98091,Entire home/apt,75,4,0,,
Irina,Manhattan,Hell's Kitchen,40.76136,-73.99309,Entire home/apt,160,30,4,6/16/2018,2018
Kat,Staten Island,Emerson Hill,40.60642,-74.11756,Entire home/apt,49,1,43,7/1/2019,2019
Amy,Manhattan,Upper East Side,40.76844,-73.95341,Entire home/apt,10,3,10,10/22/2018,2018
Olvin,Brooklyn,Brownsville,40.66032,-73.91341,Private room,55,2,58,2/25/2019,2019
Maria,Brooklyn,Bath Beach,40.59855,-74.0067,Entire home/apt,119,2,51,7/7/2019,2019
Dave,Brooklyn,Crown Heights,40.67578,-73.95491,Entire home/apt,85,30,20,4/16/2019,2019
Brian,Manhattan,West Village,40.73321,-74.00242,Entire home/apt,350,1,105,5/26/2019,2019
James,Manhattan,SoHo,40.72681,-74.00771,Private room,76,2,60,6/21/2019,2019
Ronn,Brooklyn,Canarsie,40.63959,-73.88158,Entire home/apt,46,1,58,7/5/2019,2019
Charlotte,Brooklyn,Williamsburg,40.70858,-73.9509,Private room,95,5,0,,
Saxon,Brooklyn,Crown Heights,40.67522,-73.94677,Entire home/apt,79,4,2,2/11/2019,2019
Natasha,Brooklyn,Greenpoint,40.71966,-73.95428,Entire home/apt,350,2,5,9/17/2018,2018
Frank,Manhattan,SoHo,40.72633,-74.00207,Entire home/apt,205,2,109,7/1/2019,2019
Barbara,Manhattan,Upper East Side,40.76749,-73.96246,Private room,190,1,15,5/24/2019,2019
Ro,Brooklyn,Clinton Hill,40.68318,-73.96067,Entire home/apt,120,2,1,5/29/2017,2017
Luidmila,Manhattan,Financial District,40.71017,-74.00924,Private room,135,3,76,6/30/2019,2019
Jacob,Brooklyn,Midwood,40.61421,-73.95347,Entire home/apt,111,90,0,,
